243403,8.296,-4.999,2.022,0.004577,0.039301,0.054598,101339.31
243412,8.246,-5.002,1.978,0.012027,0.023870,0.062048,101337.59
243423,8.303,-5.005,2.037,0.011495,0.016420,0.072690,101337.59
243433,8.271,-4.956,1.980,0.011495,0.008438,0.080672,101337.17
243442,8.226,-4.943,2.008,0.020009,0.002053,0.095571,101336.44
243452,8.244,-4.972,1.982,0.022137,-0.005396,0.109938,101336.44
243463,8.249,-4.991,1.934,0.022669,-0.010718,0.123241,101339.30
243473,8.261,-4.987,1.941,0.023733,-0.017103,0.138140,101336.33
243483,8.258,-4.997,1.923,0.025862,-0.021892,0.153039,101338.00
243492,8.205,-4.980,1.905,0.027458,-0.022424,0.166341,101337.53
243503,8.193,-5.027,1.866,0.033844,-0.013378,0.178580,101339.69
243513,8.149,-5.097,1.905,0.037568,-0.013378,0.188690,101337.92
243523,8.080,-5.149,1.990,0.044486,-0.017635,0.188158,101338.28
243532,8.121,-5.108,2.041,0.048743,-0.021892,0.192947,101338.28
243543,8.162,-5.129,2.007,0.052467,-0.028809,0.199332,101337.45
243553,8.140,-5.159,1.949,0.051403,-0.034130,0.208378,101337.45
243563,8.151,-5.148,1.917,0.045550,-0.038387,0.221149,101338.78
243573,8.152,-5.123,1.867,0.037568,-0.043708,0.231259,101338.67
243582,8.147,-5.138,1.868,0.030119,-0.045837,0.242433,101336.64
243593,8.125,-5.181,1.899,0.023201,-0.047433,0.254672,101337.16
243603,8.079,-5.153,1.838,0.026394,-0.056479,0.266378,101337.16
243613,8.048,-5.075,1.728,0.039165,-0.068185,0.281809,101339.34
243622,8.071,-5.057,1.743,0.067899,-0.080424,0.299369,101337.90
243633,8.092,-5.053,1.810,0.095036,-0.091066,0.319057,101339.38
243643,8.050,-5.165,1.838,0.115788,-0.103305,0.333956,101339.38
243653,7.959,-5.331,1.847,0.122706,-0.118204,0.335552,101339.38
243662,7.857,-5.481,1.951,0.141862,-0.122461,0.324378,101338.98
243673,7.896,-5.428,1.994,0.144522,-0.119268,0.315864,101338.71
